Started logging on 2023-09-05 09:23:55.719937
Listening on COM3
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.328987
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.332984
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.336986
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.341027
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.366320
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.370356
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.374360
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.377962
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.468830
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.472829
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.476830
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.480719
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.488713
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.493559
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.497640
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.501484
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.505232
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.509166
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.513763
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.517943
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.521923
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.522920
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.523922
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.524918
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.525920
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.525920
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.526918
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.527918
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.527918
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.529918
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.533920
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.538399
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.542064
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.546654
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.550066
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.554064
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.558855
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.563000
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.566525
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.571151
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.575003
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.576004
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.577005
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.577005
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.578005
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.579004
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.580004
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.580004
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.581004
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.583093
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.587003
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.591002
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.595349
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.599698
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.603700
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.607697
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.612338
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.616341
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.623875
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.624879
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.627876
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.632814
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.636814
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.640619
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.644628
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.648807
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.763603
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.807996
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.812814
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.817126
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.820651
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.824649
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.828712
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.832709
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.833712
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.835710
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.836711
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.836711
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.837712
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.839080
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.841712
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.845711
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.849793
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.853789
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.857787
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.861790
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.866344
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.869669
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.873667
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.877713
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.882725
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.886732
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.887730
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.888253
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.889264
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.890264
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.890264
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.891264
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.892265
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.893416
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.894268
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.898515
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.902531
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.906528
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.910561
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.915658
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.919102
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.923184
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.924106
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.925107
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.926107
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.927107
Received: X: 512, Y: 512, Button: 1 at 2023-09-05 09:23:56.927107
